rev,n,total,mean,sd
9739b8b,95,126,1.33,1.21
e064cb9,94,132,1.4,1.26
9b1b4c4,102,152,1.49,1.47
cff843d,102,147,1.44,1.45
3f4ad96,128,189,1.48,1.32
c3bbc45,143,215,1.5,1.32
a60e7aa,173,280,1.62,1.28
37fa998,187,309,1.65,1.29
af556f5,198,340,1.72,1.31
dcef8d1,197,338,1.72,1.31
adb08f6,197,338,1.72,1.31
ae44043,197,338,1.72,1.31
ee55400,199,341,1.71,1.3
6ff56c0,192,329,1.71,1.31
a35b314,192,329,1.71,1.31
c3343b8,165,278,1.68,1.31
6a3af2c,185,297,1.61,1.29
8fa41b7,171,268,1.57,1.28
27e7ab2,155,232,1.5,1.3
581a1e8,155,232,1.5,1.3
7ea1ad4,153,229,1.5,1.31
6f0d9e4,155,229,1.48,1.31
357bcc3,125,173,1.38,1.36
d35dce3,113,157,1.39,1.4
3e6a882,113,157,1.39,1.4
923730d,111,153,1.38,1.41
6410610,122,175,1.43,1.37
e4331f5,135,199,1.47,1.38
9caa7b6,122,175,1.43,1.37
3bfef95,146,207,1.42,1.32
8d72a1a,146,207,1.42,1.32
7cb6e26,146,207,1.42,1.32